session_id,rep_id,rep_number,rep_start_time,rep_end_time,rep_duration_seconds,total_frames,valid_frames,frame_quality,final_form_score,safety_score,depth_score,stability_score,tempo_score,symmetry_score,technique_score,faults_detected,fault_categories,fault_severities,movement_phase_durations,peak_depth_angle,min_knee_angle,max_knee_angle,depth_percentage,movement_smoothness,bilateral_asymmetry,center_of_mass_deviation,postural_stability,voice_feedback_given,voice_messages_count,feedback_messages_generated,feedback_categories,enhanced_feedback_status,feedback_content,enhanced_feedback_content,user_response_time,correction_made
session_20250901_013256_user,session_20250901_013256_user_rep_001,1,1756686780.4896095,1756686789.548717,9.059107542037964,272,272,1.0,87,66.71548019601025,100,100,100,0,0,1,,,,52.23694158009415,52.23694158009415,179.96214585354207,100.0,99.58317180310227,13.201801537724588,4.360318328269098,100.0,False,0,0,,success,"['🎖️ Great execution with room for small improvements.', '🔧 FOCUS: Work on maintaining neutral spine throughout.', '🎯 Perfect depth control - hitting the target zone!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_013323_user,session_20250901_013323_user_rep_001,1,1756686807.6963341,1756686816.6593688,8.963034629821777,272,272,1.0,92,62.34847445192703,100,100,100,100,95.0,2,,,,51.71974497124586,51.71974497124586,179.98036662022514,100.0,99.56424475201328,13.193524362048256,4.363121107813042,100.0,False,0,0,,success,"[""🌟 Exceptional form - you're crushing it!"", '📐 KEY: Keep back straight and core engaged for safety.', '📏 Outstanding range of motion - maximum muscle activation!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_013549_user,session_20250901_013549_user_rep_001,1,1756686953.954489,1756686963.10263,9.148140907287598,272,272,1.0,87,66.71548019601025,100,100,100,0,0,1,,,,52.23694158009415,52.23694158009415,179.96214585354207,100.0,99.58165174622468,13.201801537724588,4.360318328269098,100.0,False,0,0,,success,"['✨ Strong performance - just minor tweaks to perfect it!', '⚠️ IMPORTANT: Improve spine position for safer movement.', '⬇️ Ideal depth consistency - textbook execution!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_013640_user,session_20250901_013640_user_rep_001,1,1756687004.7396438,1756687013.7321515,8.992507696151733,272,272,1.0,92,62.34847445192703,100,100,100,100,95.0,2,,,,51.71974497124586,51.71974497124586,179.98036662022514,100.0,99.56715910522848,13.193524362048256,4.363121107813042,100.0,False,0,0,,success,"['🔥 Stellar performance - form coach approved!', '🔧 FOCUS: Work on maintaining neutral spine throughout.', '🎯 Perfect depth control - hitting the target zone!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_013858_user,session_20250901_013858_user_rep_001,1,1756687143.0001178,1756687152.0076575,9.007539749145508,272,272,1.0,87,66.71548019601025,100,100,100,0,0,1,,,,52.23694158009415,52.23694158009415,179.96214585354207,100.0,99.58280348519463,13.201801537724588,4.360318328269098,100.0,False,0,0,,success,"['👌 Very solid form - almost there!', '🚨 PRIORITY: Address back posture and spinal alignment.', '🎯 Perfect depth control - hitting the target zone!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_013931_user,session_20250901_013931_user_rep_001,1,1756687175.7806177,1756687184.6668534,8.88623571395874,272,272,1.0,92,62.34847445192703,100,100,100,100,95.0,2,,,,51.71974497124586,51.71974497124586,179.98036662022514,100.0,99.55809885995053,13.193524362048256,4.363121107813042,100.0,False,0,0,,success,"['🔥 Stellar performance - form coach approved!', '📐 KEY: Keep back straight and core engaged for safety.', '💪 Excellent depth - full range of motion achieved!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_014319_user,session_20250901_014319_user_rep_001,1,1756687403.8401287,1756687412.799361,8.959232330322266,272,272,1.0,87,66.71548019601025,100,100,100,0,0,1,,,,52.23694158009415,52.23694158009415,179.96214585354207,100.0,99.57390939479386,13.201801537724588,4.360318328269098,100.0,False,0,0,,success,"['👌 Very solid form - almost there!', '🔧 FOCUS: Work on maintaining neutral spine throughout.', '📏 Outstanding range of motion - maximum muscle activation!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_014524_user,session_20250901_014524_user_rep_001,1,1756687528.2909503,1756687537.097299,8.80634880065918,272,272,1.0,92,62.34847445192703,100,100,100,100,95.0,2,,,,51.71974497124586,51.71974497124586,179.98036662022514,100.0,99.55259001818646,13.193524362048256,4.363121107813042,100.0,False,0,0,,success,"['💎 Near-perfect execution - amazing work!', '📐 KEY: Keep back straight and core engaged for safety.', '📏 Outstanding range of motion - maximum muscle activation!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_020916_user,session_20250901_020916_user_rep_001,1,1756688960.6427164,1756688969.6898677,9.047151327133179,272,272,1.0,89,66.71548019601025,100,100,100,0,100.0,1,,,,52.23694158009415,52.23694158009415,179.96214585354207,100.0,99.5781039849187,13.201801537724588,4.360318328269098,100.0,False,0,0,,success,"['✨ Strong performance - just minor tweaks to perfect it!', '⚠️ IMPORTANT: Improve spine position for safer movement.', '🎯 Perfect depth control - hitting the target zone!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_020943_user,session_20250901_020943_user_rep_001,1,1756688987.5362933,1756688996.5822732,9.045979976654053,272,272,1.0,84,62.34847445192703,100,100,100,100,95.0,2,,,,51.71974497124586,51.71974497124586,179.98036662022514,100.0,99.5661802907815,13.193524362048256,4.363121107813042,100.0,False,0,0,,success,"['👌 Very solid form - almost there!', '🚨 PRIORITY: Address back posture and spinal alignment.', '💪 Excellent depth - full range of motion achieved!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
