user_name,rep_id,start_timestamp_ms,bottom_timestamp_ms,end_timestamp_ms,duration_ms,min_knee_angle_deg,max_trunk_flex_deg,max_valgus_dev_deg,depth_fault_flag,valgus_fault_flag,trunk_fault_flag,form_score_percent,stability_index_knee,stability_index_trunk,aot_valgus_ms_deg,aot_trunk_ms_deg,ai_rep_detected
folaa,1,1757434056655,1757434058155,1757434059655,3000,90,0,0,0,0,1,87,100,100,0,0,1
folaa,2,1757434060428,1757434061928,1757434063428,3000,90,0,0,0,0,1,92,100,100,0,0,1
folaa,3,1757434063982,1757434065482,1757434066982,3000,90,0,0,0,0,1,92,100,100,0,0,1
folaa,4,1757434067790,1757434069290,1757434070790,3000,90,0,0,0,0,1,91,100,100,0,0,1
folaa,5,1757434071786,1757434073286,1757434074786,3000,90,0,0,0,0,1,92,100,100,0,0,1
folaa,6,1757434075333,1757434076833,1757434078333,3000,90,0,0,0,0,1,89,100,100,0,0,1
folaa,7,1757434078978,1757434080478,1757434081978,3000,90,0,0,0,0,1,94,100,100,0,0,1
folaa,8,1757434082691,1757434084191,1757434085691,3000,90,0,0,0,0,1,93,100,100,0,0,1
folaa,9,1757434086430,1757434087930,1757434089430,3000,90,0,0,0,0,1,93,100,100,0,0,1
folaa,10,1757434089914,1757434091414,1757434092914,3000,90,0,0,0,0,1,92,100,100,0,0,1
folab,1,1757434172109,1757434173609,1757434175109,3000,90,0,0,0,0,1,88,100,100,0,0,1
folab,2,1757434176164,1757434177664,1757434179164,3000,90,0,0,0,0,1,86,86.93400258443137,86.93400258443137,0,0,1
folab,3,1757434179449,1757434180949,1757434182449,3000,90,0,0,0,0,1,85,82.7194460800177,82.7194460800177,0,0,1
folab,4,1757434184474,1757434185974,1757434187474,3000,90,0,0,0,0,1,89,100,100,0,0,1
folab,5,1757434188622,1757434190122,1757434191622,3000,90,0,0,0,0,1,93,100,100,0,0,1
folab,6,1757434192571,1757434194071,1757434195571,3000,90,0,0,0,0,1,93,100,100,0,0,1
folab,7,1757434198341,1757434199841,1757434201341,3000,90,0,0,0,0,1,93,100,100,0,0,1
folab,8,1757434202325,1757434203825,1757434205325,3000,90,0,0,0,0,1,92,100,100,0,0,1
folab,9,1757434206349,1757434207849,1757434209349,3000,90,0,0,0,0,1,92,100,100,0,0,1
folab,10,1757434210583,1757434212083,1757434213583,3000,90,0,0,0,0,1,93,100,100,0,0,1
folab,11,1757434216009,1757434217509,1757434219009,3000,90,0,0,0,0,0,0,0.0,0.0,0,0,1
folab,12,1757434216333,1757434217833,1757434219333,3000,90,0,0,0,0,0,0,0.0,0.0,0,0,1
